date,venue,race_no,horse_name,horse_number,draw,weight,rating,age,sex,trainer,jockey,win_odds
,S4,1,Captain Fenkel (AUS),1,7,130,76.0,,,M Beer & G Carpenter,Hugh Bowman,12.0
,S4,1,I Park (NZ),2,6,126,72.0,,,Lauren Brennan,Tim Clark,7.8
,S4,1,Le Troisir (NZ),3,1,126,72.0,,,Chris Waller,James McDonald,2.0
,S4,1,Golden Century (NZ),4,15,125,71.0,,,Chris Waller,Tommy Berry,15.0
,S4,1,Amplify (AUS),5,6,123,74.0,,,Ciaron Maher,TBC,
,S4,1,Foire De Trone (NZ),6,4,123,74.0,,,Ciaron Maher,Ethan Brown,8.2
,S4,1,Skycatcher (NZ),7,14,123,70.0,,,M Price & M Kent (Jnr),Dylan Gibbons,17.0
,S4,1,Celebrity (NZ),8,12,122,69.0,,,Bjorn Baker,Rachel King,22.0
,S4,1,Forbidden Riff (AUS),9,2,121,68.0,,,R & W Freedman,Kerrin McEvoy,24.0
,S4,1,Trapalanda (IRE),10,11,121,68.0,,,A & R Archibald,Tom Sherry,10.0
,S4,1,Spacetime Legend (AUS),11,8,119,59.0,,,Joel Wilkes,Mikayla Weir,118.0
,S4,1,Michelangelo (AUS),12,9,117,63.0,,,Dean Mirfin,Ben Thompson,29.0
,S4,1,Seo Linn (IRE),13,5,115,66.0,,,Chris Waller,Tyler Schiller,91.0
,S4,1,Anulfa (AUS),14,3,115,59.0,,,Stephen Hill,M Fitzgerald (a) (-7),72.0
,S4,1,Chuckler (AUS),15,10,115,58.0,,,Jack Pilkington,Reece Jones,122.0
,S4,1,Autafinna (NZ),16,13,115,54.0,,,Patrick Cleave,Alysha Collett,57.0
,S4,2,King Of The Sea (GB),1,9,133,79.0,,,Ciaron Maher,James McDonald,1.7
,S4,2,The Creator (NZ),2,1,133,79.0,,,M Price & M Kent (Jnr),Tommy Berry,5.6
,S4,2,Montpellier (GB),3,4,130,76.0,,,A & R Archibald,M Fitzgerald (a) (-7),12.0
,S4,2,Walking Painting (GB),4,8,130,76.0,,,R & W Freedman,W Stanley (a) (-7),75.0
,S4,2,Zenmaster (AUS),5,10,130,76.0,,,Craig Carmody,Winona Costin,28.0
,S4,2,Inquiring Minds (GB),6,12,129,75.0,,,J O'Shea & T Charlton,Hugh Bowman,42.0
,S4,2,Zouna (AUS),7,3,129,75.0,,,J O'Shea & T Charlton,Kerrin McEvoy,25.0
,S4,2,Pier Pressure (AUS),8,7,127,77.0,,,Kris Lees,Dylan Gibbons,
,S4,2,Puntin (NZ),9,5,127,73.0,,,Bjorn Baker,Adam Hyeronimus,12.0
,S4,2,Cosmeena (AUS),10,6,126,76.0,,,Michael Vella,Rachel King,36.0
,S4,2,Champagne Hero (AUS),11,15,125,71.0,,,G Waterhouse & A Bott,Tim Clark,
